Field,Type,Count
time_stamp,int,41432473
ip,str,41432473
user_agent,str,41432473
resolution,str,41432233
resolution,NoneType,240
user_id_db,str,41432473
device_id,str,41432473
api_version,str,41432473
store_id,str,41432473
local_time,str,41432233
local_time,NoneType,240
show_recommendation,str,33665625
show_recommendation,NoneType,7766848
current_url,str,41432473
referrer_url,str,41432473
email_address,str,41432076
email_address,NoneType,397
recommendation,bool,10944359
recommendation,NoneType,68
utm_source,bool,10856180
utm_source,str,88179
utm_source,NoneType,68
utm_medium,bool,10853638
utm_medium,str,90721
utm_medium,NoneType,68
collection,str,41432473
product_id,str,22242720
option,list,22208495
option,dict,12092054
option[],dict,33573308
option[].option_label,str,33463767
option[].option_id,str,33283133
option[].value_label,str,33463657
option[].value_id,str,33386264
order_id,str,88540
order_id,int,16116
order_id,float,9963
cart_products,list,457696
cart_products[],dict,822438
cart_products[].product_id,int,822438
cart_products[].amount,int,160181
cart_products[].option,list,673929
cart_products[].option,str,148509
cart_products[].option[],dict,1126118
cart_products[].option[].option_label,str,1126118
cart_products[].option[].option_id,int,1126118
cart_products[].option[].value_label,str,1126118
cart_products[].option[].value_id,int,1126118
option.alloy,str,12092054
option.diamond,str,12058390
option.shapediamond,str,12058390
cat_id,NoneType,12042848
cat_id,str,258
collect_id,str,12043106
option[].quality,str,2231825
option[].quality_label,str,1931725
viewing_product_id,str,1989052
recommendation_product_id,str,217700
recommendation_product_id,NoneType,25596
recommendation_clicked_position,int,179226
recommendation_clicked_position,NoneType,25547
cart_products[].price,str,35065
cart_products[].currency,str,35065
price,str,186590
price,NoneType,1311
currency,str,186590
currency,NoneType,1311
is_paypal,NoneType,186592
is_paypal,bool,1309
key_search,NoneType,163108
key_search,str,75200
option.stone,str,33664
option.pearlcolor,str,33664
option.finish,str,33664
option.price,str,33664
option.category id,str,33664
option.Kollektion,str,33664
option.kollektion_id,str,33664
recommendation_product_position,int,20128
recommendation_product_position,str,18344
recommendation_product_position,NoneType,51
